Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2010,OR,Oregon,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,Yes,"Other, non-Hispanic",Race/Ethnicity,5,1.3,0.1,2.4,532,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,41,RACE4,CAT4,CVDINFR4,RESP046,"(44.567449424, -120.155031326)"
2005,UT,Utah,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,Male,Gender,139,6.6,5.2,8.0,641,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,49,SEX1,CAT2,_CASTHMA,RESP046,"(39.360700171, -111.587130635)"
2002,SC,South Carolina,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,35-44,Age Group,836,93.9,91.9,95.9,403,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,45,AGE03,CAT3,_CASTHMA,RESP054,"(33.998821303, -81.045371207)"
2008,GA,Georgia,Health Status,Overall Health,How is your general health?,Fair,"$50,000+",Household Income,126,4.9,3.7,6.1,110,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,13,INCOME5,CAT6,GENHLTH,RESP059,"(32.839681093, -83.627580346)"
2007,DE,Delaware,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,"Other, non-Hispanic",Race/Ethnicity,33,,,,278,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS15,Topic23,10,RACE4,CAT4,_TOTINDA,RESP054,"(39.008830667, -75.577741168)"
1999,VA,Virginia,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Neither overweight nor obese (BMI le 24.9),45-54,Age Group,253,32.4,27.4,37.4,1591,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,51,AGE04,CAT3,_BMI2CAT,RESP045,"(37.542680674, -78.457890463)"
2002,OH,Ohio,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,25-34,Age Group,151,24.3,20.4,28.2,254,%,Crude Prevalence,,,BRFSS,CLASS15,Topic23,39,AGE02,CAT3,_TOTINDA,RESP054,"(40.060210141, -82.404260056)"
2006,VT,Vermont,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Female,Gender,3893,90.9,89.7,92.1,165,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,50,SEX2,CAT2,HLTHPLAN,RESP046,"(43.625381239, -72.517640791)"
2005,OR,Oregon,Demographics,Marital Status,What is your marital status?,Partnered,"White, non-Hispanic",Race/Ethnicity,393,5.4,4.8,6.0,1319,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,41,RACE1,CAT4,MARITAL,RESP038,"(44.567449424, -120.155031326)"
2008,UT,Utah,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,55-64,Age Group,109,12.0,9.3,14.6,311,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,49,AGE05,CAT3,DIABETE2,RESP046,"(39.360700171, -111.587130635)"
2004,WI,Wisconsin,Alcohol Consumption,Binge Drinking,Binge drinkers (adults having five or more drinks on one occasion) (variable calculated from one or more BRFSS questions),No,"White, non-Hispanic",Race/Ethnicity,3017,77.8,76.1,79.5,588,%,Crude Prevalence,,,BRFSS,CLASS01,Topic07,55,RACE1,CAT4,_RFBING2,RESP054,"(44.393191174, -89.816370742)"
2002,CA,California,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,Less than H.S.,Education Attained,514,100.0,100.0,100.0,1516,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,6,EDUCA1,CAT5,EDUCA,RESP021,"(37.638640123, -120.999999538)"
2004,CA,California,Alcohol Consumption,Binge Drinking,Binge drinkers (adults having five or more drinks on one occasion) (variable calculated from one or more BRFSS questions),Yes,25-34,Age Group,171,23.6,20.0,27.2,578,%,Crude Prevalence,,,BRFSS,CLASS01,Topic07,6,AGE02,CAT3,_RFBING2,RESP046,"(37.638640123, -120.999999538)"
2010,NJ,New Jersey,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,55-64,Age Group,305,11.0,9.3,12.7,901,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,34,AGE05,CAT3,_SMOKER3,RESP068,"(40.130570048, -74.273691288)"
2008,DE,Delaware,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,Less than H.S.,Education Attained,24,16.1,7.9,24.4,1386,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,10,EDUCA1,CAT5,_CHLDCNT,RESP094,"(39.008830667, -75.577741168)"
2001,ME,Maine,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,"Other, non-Hispanic",Race/Ethnicity,23,,,,864,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS17,Topic55,23,RACE4,CAT4,_SMOKER2,RESP070,"(45.254228894001, -68.985031336)"
1999,OR,Oregon,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,354,65.0,60.5,69.5,1921,%,Crude Prevalence,,,BRFSS,CLASS13,Topic57,41,EDUCA4,CAT5,_EXTEETH,RESP046,"(44.567449424, -120.155031326)"
2001,SD,South Dakota,Demographics,Income,What is your annual household income?,"Less than $15,000","Other, non-Hispanic",Race/Ethnicity,58,31.7,23.8,39.6,1824,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,46,RACE4,CAT4,INCOME,RESP016,"(44.353130053, -100.373530637)"
1998,KS,Kansas,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,"$15,000-$24,999",Household Income,97,14.7,11.5,17.9,1060,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,20,INCOME2,CAT6,EDUCA,RESP021,"(38.3477403, -98.200781227)"
2010,ID,Idaho,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,"$50,000+",Household Income,162,11.4,9.3,13.4,1424,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,16,INCOME5,CAT6,_CHLDCNT,RESP092,"(43.682630005, -114.363730042)"
2004,CO,Colorado,Demographics,Marital Status,What is your marital status?,Never married,65+,Age Group,32,1.2,0.5,1.9,1211,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,8,AGE09,CAT3,MARITAL,RESP037,"(38.843840757, -106.133610921)"
2010,NJ,New Jersey,Health Status,Overall Health,How is your general health?,Excellent,25-34,Age Group,296,29.1,25.3,32.9,17,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,34,AGE02,CAT3,GENHLTH,RESP056,"(40.130570048, -74.273691288)"
1995,UT,Utah,Women's Health,Pap Test,Women aged 18+ who have had a pap smear within the past three years (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,123,,,,1748,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS18,Topic42,49,AGE04,CAT3,_RFPAP3Y,RESP046,"(39.360700171, -111.587130635)"
2002,WA,Washington,Demographics,Marital Status,What is your marital status?,Widowed,College graduate,Education Attained,83,3.0,2.0,4.0,1281,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,53,EDUCA4,CAT5,MARITAL,RESP035,"(47.522278629, -120.47001079)"
1997,ND,North Dakota,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"$25,000-$34,999",Household Income,53,82.6,73.5,91.7,1656,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,38,INCOME3,CAT6,_MAM502Y,RESP046,"(47.475319779, -100.118421049)"
2003,NJ,New Jersey,Demographics,Employment,What is your employment status?,Emplyd,"Multiracial, non-Hispanic",Race/Ethnicity,39,,,,1693,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS05,Topic22,34,RACE5,CAT4,EMPLOY,RESP025,"(40.130570048, -74.273691288)"
2004,WY,Wyoming,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),No,35-44,Age Group,477,64.3,60.4,68.2,762,%,Crude Prevalence,,,BRFSS,CLASS13,Topic57,56,AGE03,CAT3,_EXTEETH,RESP054,"(43.235541343, -108.109830353)"
2007,HI,Hawaii,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,4632,92.8,91.6,94.0,207,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,15,BO1,CAT1,_HCVU65,RESP046,"(21.304850435, -157.857749403)"
2004,WV,West Virginia,Demographics,Race,What is your race/ethnicity?,MultiRacial,Female,Gender,39,1.7,1.1,2.3,968,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,54,SEX2,CAT2,RACE,RESP008,"(38.665510202, -80.712640135)"
2001,GU,Guam,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,"Black, non-Hispanic",Race/Ethnicity,22,,,,1935,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS05,Topic19,66,RACE2,CAT4,QLACTLM2,RESP054,"(13.444304, 144.793731)"
1996,ID,Idaho,Demographics,Age,What is your age?,18-24 years,18-24,Age Group,290,100.0,100.0,100.0,631,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,16,AGE01,CAT3,AGE,RESP010,"(43.682630005, -114.363730042)"
1997,MT,Montana,Alcohol Consumption,Alcohol Consumption,"During the past month, have you had at least one drink of any alcoholic beverage?",No,65+,Age Group,232,58.0,52.3,63.7,637,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,30,AGE09,CAT3,DRINKANY,RESP054,"(47.066528972, -109.424420645)"
2002,AR,Arkansas,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,"$25,000-$34,999",Household Income,67,62.5,52.9,72.1,700,%,Crude Prevalence,,,BRFSS,CLASS11,Topic46,5,INCOME3,CAT6,_PNEUMOC,RESP046,"(34.748650124, -92.274490743)"
1999,MI,Michigan,Demographics,Employment,What is your employment status?,Self emplyd,"$50,000+",Household Income,73,9.4,7.2,11.6,1417,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,26,INCOME5,CAT6,EMPLOY,RESP026,"(44.661319543001, -84.71439027)"
2003,WA,Washington,Health Status,Overall Health,How is your general health?,Fair,Female,Gender,1274,10.2,9.5,10.9,13,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,53,SEX2,CAT2,GENHLTH,RESP059,"(47.522278629, -120.47001079)"
2001,VI,Virgin Islands,Health Status,Overall Health,How is your general health?,Poor,"White, non-Hispanic",Race/Ethnicity,5,1.6,0.0,3.6,66,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,78,RACE1,CAT4,GENHLTH,RESP060,"(18.335765, -64.896335)"
1999,SC,South Carolina,Demographics,Employment,What is your employment status?,Homemkr,College graduate,Education Attained,45,4.4,3.1,5.7,1397,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,45,EDUCA4,CAT5,EMPLOY,RESP029,"(33.998821303, -81.045371207)"
2007,MS,Mississippi,Demographics,Age,What is your age?,18-24 years,"$15,000-$24,999",Household Income,56,16.3,11.8,20.8,994,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,28,INCOME2,CAT6,AGE,RESP010,"(32.745510099, -89.538030825)"
1997,NM,New Mexico,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,"Other, non-Hispanic",Race/Ethnicity,10,8.2,2.5,13.9,580,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,35,RACE4,CAT4,_SMOKER2,RESP068,"(34.520880952, -106.240580985)"
2010,VA,Virginia,Demographics,Sex,Gender of respondent,Male,"$15,000-$24,999",Household Income,227,38.8,32.6,45.0,1837,%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,51,INCOME2,CAT6,SEX,RESP001,"(37.542680674, -78.457890463)"
1995,RI,Rhode Island,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,"Black, non-Hispanic",Race/Ethnicity,3,4.4,0.0,9.4,1168,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,44,RACE2,CAT4,_CHLDCNT,RESP092,"(41.708280193, -71.522470314)"
2006,WY,Wyoming,Demographics,Marital Status,What is your marital status?,Married,"$50,000+",Household Income,1574,82.3,79.9,84.7,1059,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,56,INCOME5,CAT6,MARITAL,RESP033,"(43.235541343, -108.109830353)"
2006,MS,Mississippi,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,Overall,Overall,1972,32.2,30.6,33.8,1223,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,28,BO1,CAT1,EDUCA,RESP022,"(32.745510099, -89.538030825)"
2003,NJ,New Jersey,Fruits and Vegetables,Five Servings per Day,Adults who have consumed fruits and vegetables five or more times per day (variable calculated from one or more BRFSS questions),Consume less than 5 times per day,Female,Gender,4685,69.5,68.2,70.8,578,%,Crude Prevalence,,,BRFSS,CLASS06,Topic25,34,SEX2,CAT2,_FV5SRV,RESP076,"(40.130570048, -74.273691288)"
1998,TN,Tennessee,Demographics,Income,What is your annual household income?,"$35,000 -  49,999",25-34,Age Group,131,28.5,24.1,32.9,1272,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,47,AGE02,CAT3,INCOME,RESP019,"(35.68094058, -85.774490914)"
2008,WI,Wisconsin,Demographics,Income,What is your annual household income?,"$35,000 -  49,999",18-24,Age Group,24,12.4,5.9,18.9,1742,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,55,AGE01,CAT3,INCOME,RESP019,"(44.393191174, -89.816370742)"
2001,DE,Delaware,Cholesterol Awareness,Cholesterol Checked,Adults who have had their blood cholesterol checked within the last five years (variable calculated from one or more BRFSS questions),Checked in past 5 years,"$15,000-$24,999",Household Income,260,73.2,66.1,80.3,512,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,10,INCOME2,CAT6,_CHOLCHK,RESP072,"(39.008830667, -75.577741168)"
2007,MO,Missouri,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,"Less than $15,000",Household Income,258,40.5,33.4,47.6,1361,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,29,INCOME1,CAT6,EDUCA,RESP022,"(38.635790776, -92.566300053)"
2006,NY,New York,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),45-54,Age Group,428,37.2,33.9,40.5,1596,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,36,AGE04,CAT3,_BMI4CAT,RESP040,"(42.827001032, -75.543970427)"
2010,CO,Colorado,Demographics,Age,What is your age?,25-34 years,25-34,Age Group,858,100.0,100.0,100.0,1087,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,8,AGE02,CAT3,AGE,RESP011,"(38.843840757, -106.133610921)"
1996,AL,Alabama,Fruits and Vegetables,Five Servings per Day,Adults who have consumed fruits and vegetables five or more times per day,Consume less than 5 times per day,"Black, non-Hispanic",Race/Ethnicity,373,83.2,78.8,87.6,543,%,Crude Prevalence,,,BRFSS,CLASS06,Topic25,1,RACE2,CAT4,FV5SRV,RESP076,"(32.840571122, -86.631860762)"
2003,ND,North Dakota,Hypertension Awareness,High Blood Pressure,Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions),No,Overall,Overall,2173,76.0,74.4,77.6,360,%,Crude Prevalence,,,BRFSS,CLASS10,Topic31,38,BO1,CAT1,_RFHYPE4,RESP054,"(47.475319779, -100.118421049)"
2000,WY,Wyoming,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,College graduate,Education Attained,166,25.3,21.5,29.1,584,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,56,EDUCA4,CAT5,_SMOKER2,RESP070,"(43.235541343, -108.109830353)"
1995,MA,Massachusetts,Demographics,Age,What is your age?,55-64 years,College graduate,Education Attained,64,11.2,8.4,14.0,938,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,25,EDUCA4,CAT5,AGE,RESP014,"(42.27687047, -72.082690675)"
2008,WI,Wisconsin,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Some post-H.S.,Education Attained,1765,91.2,89.1,93.3,192,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,55,EDUCA3,CAT5,HLTHPLAN,RESP046,"(44.393191174, -89.816370742)"
2008,KS,Kansas,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,No,"Black, non-Hispanic",Race/Ethnicity,280,97.3,95.5,99.1,632,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,20,RACE2,CAT4,CVDSTRK3,RESP054,"(38.3477403, -98.200781227)"
1997,NV,Nevada,Demographics,Employment,What is your employment status?,Unable to work,H.S. or G.E.D.,Education Attained,28,3.8,0.9,6.7,1405,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,32,EDUCA2,CAT5,EMPLOY,RESP032,"(39.49324039, -117.071840564)"
1997,NY,New York,Alcohol Consumption,Binge Drinking,Binge drinkers (adults having five or more drinks on one occasion) (variable calculated from one or more BRFSS questions),No,Less than H.S.,Education Attained,334,93.8,91.0,96.6,708,%,Crude Prevalence,,,BRFSS,CLASS01,Topic07,36,EDUCA1,CAT5,_RFBINGE,RESP054,"(42.827001032, -75.543970427)"
2004,KY,Kentucky,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"$25,000-$34,999",Household Income,396,47.3,42.0,52.6,475,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,21,INCOME3,CAT6,_SMOKER2,RESP071,"(37.645970271, -84.774971048)"
1996,NV,Nevada,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,"$25,000-$34,999",Household Income,200,76.7,68.2,85.2,233,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,32,INCOME3,CAT6,_HCVU65,RESP046,"(39.49324039, -117.071840564)"
2005,ND,North Dakota,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),,College graduate,Education Attained,740,56.5,53.3,59.7,1420,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,38,EDUCA4,CAT5,_CHLDCNT,RESP095,"(47.475319779, -100.118421049)"
1999,ND,North Dakota,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,43,32.0,23.5,40.5,1755,%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,38,EDUCA4,CAT5,_RFBLDST,RESP046,"(47.475319779, -100.118421049)"
2001,TN,Tennessee,Cholesterol Awareness,Cholesterol Checked,Adults who have ever had their blood cholesterol checked,Yes,H.S. or G.E.D.,Education Attained,739,68.9,65.5,72.3,439,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,47,EDUCA2,CAT5,BLOODCHO,RESP046,"(35.68094058, -85.774490914)"
2004,DC,District of Columbia,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,65+,Age Group,131,28.9,24.0,33.8,2111,%,Crude Prevalence,,,BRFSS,CLASS04,Topic52,11,AGE09,CAT3,_RFSIGM2,RESP054,"(38.890371385, -77.031961127)"
2006,VA,Virginia,Demographics,Marital Status,What is your marital status?,Married,"White, non-Hispanic",Race/Ethnicity,2526,68.5,66.2,70.8,1002,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,51,RACE1,CAT4,MARITAL,RESP033,"(37.542680674, -78.457890463)"
1995,ID,Idaho,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,"White, non-Hispanic",Race/Ethnicity,322,11.4,10.1,12.7,131,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,16,RACE1,CAT4,_RFHLTH,RESP062,"(43.682630005, -114.363730042)"
2006,DE,Delaware,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,"Black, non-Hispanic",Race/Ethnicity,74,20.9,15.1,26.7,1144,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,10,RACE2,CAT4,_CHLDCNT,RESP093,"(39.008830667, -75.577741168)"
2001,MS,Mississippi,Health Status,Overall Health,How is your general health?,Very good,35-44,Age Group,189,29.8,25.9,33.7,24,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,28,AGE03,CAT3,GENHLTH,RESP057,"(32.745510099, -89.538030825)"
2010,TX,Texas,Health Status,Overall Health,How is your general health?,Very good,"$50,000+",Household Income,2371,39.4,37.0,41.8,100,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,48,INCOME5,CAT6,GENHLTH,RESP057,"(31.827240407, -99.426770206)"
2002,AL,Alabama,Demographics,Sex,Gender of respondent,Male,"Other, non-Hispanic",Race/Ethnicity,32,,,,1821,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS05,Topic51,1,RACE4,CAT4,SEX,RESP001,"(32.840571122, -86.631860762)"
2010,CT,Connecticut,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes","Less than $15,000",Household Income,10,0.7,0.2,1.1,381,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,9,INCOME1,CAT6,DIABETE2,RESP052,"(41.56266102, -72.649840952)"
2003,OH,Ohio,Demographics,Age,What is your age?,25-34 years,Female,Gender,356,16.4,14.6,18.2,1166,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,39,SEX2,CAT2,AGE,RESP011,"(40.060210141, -82.404260056)"
2007,CT,Connecticut,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),,Male,Gender,2004,61.3,58.8,63.8,1171,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,9,SEX1,CAT2,_CHLDCNT,RESP095,"(41.56266102, -72.649840952)"
1999,DE,Delaware,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,Female,Gender,509,86.0,82.3,89.7,1678,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,10,SEX2,CAT2,_MAM502Y,RESP046,"(39.008830667, -75.577741168)"
2000,ME,Maine,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,"Less than $15,000",Household Income,20,6.1,1.6,10.6,1026,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,23,INCOME1,CAT6,_CHLDCNT,RESP092,"(45.254228894001, -68.985031336)"
1999,LA,Louisiana,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,Overall,Overall,193,59.6,53.8,65.4,1863,%,Crude Prevalence,,,BRFSS,CLASS11,Topic46,22,BO1,CAT1,_PNEUMOC,RESP054,"(31.312660644, -92.445680071)"
2008,IA,Iowa,Health Status,Overall Health,How is your general health?,Poor,College graduate,Education Attained,25,1.0,0.6,1.5,90,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,19,EDUCA4,CAT5,GENHLTH,RESP060,"(42.469400913, -93.816490556)"
2002,CT,Connecticut,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,18-24,Age Group,67,18.2,12.7,23.7,732,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,9,AGE01,CAT3,_SMOKER2,RESP068,"(41.56266102, -72.649840952)"
2000,IA,Iowa,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,45-54,Age Group,27,3.3,1.9,4.7,1049,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,19,AGE04,CAT3,EDUCA,RESP021,"(42.469400913, -93.816490556)"
1998,UT,Utah,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,H.S. or G.E.D.,Education Attained,785,85.0,81.9,88.1,179,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,49,EDUCA2,CAT5,HLTHPLAN,RESP046,"(39.360700171, -111.587130635)"
2009,WA,Washington,Cholesterol Awareness,Cholesterol Checked,Adults who have had their blood cholesterol checked within the last five years (variable calculated from one or more BRFSS questions),Not Checked in past 5 years,"Other, non-Hispanic",Race/Ethnicity,34,3.7,2.2,5.2,514,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,53,RACE4,CAT4,_CHOLCHK,RESP073,"(47.522278629, -120.47001079)"
1997,CA,California,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,693,78.4,75.2,81.6,1649,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,6,BO1,CAT1,_MAM502Y,RESP046,"(37.638640123, -120.999999538)"
2008,UT,Utah,Health Status,Overall Health,How is your general health?,Very good,25-34,Age Group,320,35.3,31.6,39.1,23,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,49,AGE02,CAT3,GENHLTH,RESP057,"(39.360700171, -111.587130635)"
1998,IN,Indiana,Fruits and Vegetables,Five Servings per Day,Adults who have consumed fruits and vegetables five or more times per day,Consume less than 5 times per day,Hispanic,Race/Ethnicity,44,,,,326,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS06,Topic25,18,RACE3,CAT4,FV5SRV,RESP076,"(39.766910452, -86.149960194)"
2009,CT,Connecticut,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"$35,000-$49,999",Household Income,652,92.9,90.6,95.2,814,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,9,INCOME4,CAT6,_CASTHMA,RESP054,"(41.56266102, -72.649840952)"
2008,NV,Nevada,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),,25-34,Age Group,147,31.4,24.9,37.9,1335,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,32,AGE02,CAT3,_CHLDCNT,RESP095,"(39.49324039, -117.071840564)"
1995,RI,Rhode Island,Demographics,Age,What is your age?,45-54 years,"$35,000-$49,999",Household Income,61,19.0,14.3,23.7,965,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,44,INCOME4,CAT6,AGE,RESP013,"(41.708280193, -71.522470314)"
